context1,context2,context3,context4,context5,context6,context7,response
 To hell with it all!’ He felt a slight itching on the top of his abdomen," He slowly pushed himself on his back closer to the bed post so that he could lift his head more easily, found the itchy part, which was entirely covered with small white spots (he did not know what to make of them), and wanted to feel the place with a leg"," But he retracted it immediately, for the contact felt like a cold shower all over him",He slid back again into his earlier position," ‘This getting up early,’ he thought, ‘makes a man quite idiotic", A man must have his sleep, Other traveling salesmen live like harem women," He slowly pushed himself on his back closer to the bed post so that he could lift his head more easily, found the itchy part, which was entirely covered with small white spots (he did not know what to make of them), and wanted to feel the place with a leg"
" He slowly pushed himself on his back closer to the bed post so that he could lift his head more easily, found the itchy part, which was entirely covered with small white spots (he did not know what to make of them), and wanted to feel the place with a leg"," But he retracted it immediately, for the contact felt like a cold shower all over him",He slid back again into his earlier position," ‘This getting up early,’ he thought, ‘makes a man quite idiotic", A man must have his sleep, Other traveling salesmen live like harem women," For instance, when I come back to the inn during the course of the morning to write up the necessary orders, these gentlemen are just sitting down to breakfast"," But he retracted it immediately, for the contact felt like a cold shower all over him"
" But he retracted it immediately, for the contact felt like a cold shower all over him",He slid back again into his earlier position," ‘This getting up early,’ he thought, ‘makes a man quite idiotic", A man must have his sleep, Other traveling salesmen live like harem women," For instance, when I come back to the inn during the course of the morning to write up the necessary orders, these gentlemen are just sitting down to breakfast","  If I were to try that with my boss, I’d be thrown out on the spot",He slid back again into his earlier position
He slid back again into his earlier position," ‘This getting up early,’ he thought, ‘makes a man quite idiotic", A man must have his sleep, Other traveling salesmen live like harem women," For instance, when I come back to the inn during the course of the morning to write up the necessary orders, these gentlemen are just sitting down to breakfast","  If I were to try that with my boss, I’d be thrown out on the spot"," Still, who knows whether that mightn’t be really good for me"," ‘This getting up early,’ he thought, ‘makes a man quite idiotic"
" ‘This getting up early,’ he thought, ‘makes a man quite idiotic", A man must have his sleep, Other traveling salesmen live like harem women," For instance, when I come back to the inn during the course of the morning to write up the necessary orders, these gentlemen are just sitting down to breakfast","  If I were to try that with my boss, I’d be thrown out on the spot"," Still, who knows whether that mightn’t be really good for me"," If I didn’t hold back for my parents’ sake, I would’ve quit ages ago", A man must have his sleep
 A man must have his sleep, Other traveling salesmen live like harem women," For instance, when I come back to the inn during the course of the morning to write up the necessary orders, these gentlemen are just sitting down to breakfast","  If I were to try that with my boss, I’d be thrown out on the spot"," Still, who knows whether that mightn’t be really good for me"," If I didn’t hold back for my parents’ sake, I would’ve quit ages ago", I would’ve gone to the boss and told him just what I think from the bottom of my heart, Other traveling salesmen live like harem women
 Other traveling salesmen live like harem women," For instance, when I come back to the inn during the course of the morning to write up the necessary orders, these gentlemen are just sitting down to breakfast","  If I were to try that with my boss, I’d be thrown out on the spot"," Still, who knows whether that mightn’t be really good for me"," If I didn’t hold back for my parents’ sake, I would’ve quit ages ago", I would’ve gone to the boss and told him just what I think from the bottom of my heart, He would’ve fallen right off his desk! How weird it is to sit up at the desk and talk down to the employee from way up there," For instance, when I come back to the inn during the course of the morning to write up the necessary orders, these gentlemen are just sitting down to breakfast"
" For instance, when I come back to the inn during the course of the morning to write up the necessary orders, these gentlemen are just sitting down to breakfast","  If I were to try that with my boss, I’d be thrown out on the spot"," Still, who knows whether that mightn’t be really good for me"," If I didn’t hold back for my parents’ sake, I would’ve quit ages ago", I would’ve gone to the boss and told him just what I think from the bottom of my heart, He would’ve fallen right off his desk! How weird it is to sit up at the desk and talk down to the employee from way up there," The boss has trouble hearing, so the employee has to step up quite close to him","  If I were to try that with my boss, I’d be thrown out on the spot"
"  If I were to try that with my boss, I’d be thrown out on the spot"," Still, who knows whether that mightn’t be really good for me"," If I didn’t hold back for my parents’ sake, I would’ve quit ages ago", I would’ve gone to the boss and told him just what I think from the bottom of my heart, He would’ve fallen right off his desk! How weird it is to sit up at the desk and talk down to the employee from way up there," The boss has trouble hearing, so the employee has to step up quite close to him"," Anyway, I haven’t completely given up that hope yet"," Still, who knows whether that mightn’t be really good for me"
" Still, who knows whether that mightn’t be really good for me"," If I didn’t hold back for my parents’ sake, I would’ve quit ages ago", I would’ve gone to the boss and told him just what I think from the bottom of my heart, He would’ve fallen right off his desk! How weird it is to sit up at the desk and talk down to the employee from way up there," The boss has trouble hearing, so the employee has to step up quite close to him"," Anyway, I haven’t completely given up that hope yet", Once I’ve got together the money to pay off the parents’ debt to him—that should take another five or six years—I’ll do it for sure," If I didn’t hold back for my parents’ sake, I would’ve quit ages ago"
" If I didn’t hold back for my parents’ sake, I would’ve quit ages ago", I would’ve gone to the boss and told him just what I think from the bottom of my heart, He would’ve fallen right off his desk! How weird it is to sit up at the desk and talk down to the employee from way up there," The boss has trouble hearing, so the employee has to step up quite close to him"," Anyway, I haven’t completely given up that hope yet", Once I’ve got together the money to pay off the parents’ debt to him—that should take another five or six years—I’ll do it for sure, Then I’ll make the big break, I would’ve gone to the boss and told him just what I think from the bottom of my heart
 I would’ve gone to the boss and told him just what I think from the bottom of my heart, He would’ve fallen right off his desk! How weird it is to sit up at the desk and talk down to the employee from way up there," The boss has trouble hearing, so the employee has to step up quite close to him"," Anyway, I haven’t completely given up that hope yet", Once I’ve got together the money to pay off the parents’ debt to him—that should take another five or six years—I’ll do it for sure, Then I’ll make the big break," In any case, right now I have to get up", He would’ve fallen right off his desk! How weird it is to sit up at the desk and talk down to the employee from way up there
 He would’ve fallen right off his desk! How weird it is to sit up at the desk and talk down to the employee from way up there," The boss has trouble hearing, so the employee has to step up quite close to him"," Anyway, I haven’t completely given up that hope yet", Once I’ve got together the money to pay off the parents’ debt to him—that should take another five or six years—I’ll do it for sure, Then I’ll make the big break," In any case, right now I have to get up", My train leaves at five o’clock," The boss has trouble hearing, so the employee has to step up quite close to him"
" The boss has trouble hearing, so the employee has to step up quite close to him"," Anyway, I haven’t completely given up that hope yet", Once I’ve got together the money to pay off the parents’ debt to him—that should take another five or six years—I’ll do it for sure, Then I’ll make the big break," In any case, right now I have to get up", My train leaves at five o’clock,’And he looked over at the alarm clock ticking away by the chest of drawers," Anyway, I haven’t completely given up that hope yet"
" Anyway, I haven’t completely given up that hope yet", Once I’ve got together the money to pay off the parents’ debt to him—that should take another five or six years—I’ll do it for sure, Then I’ll make the big break," In any case, right now I have to get up", My train leaves at five o’clock,’And he looked over at the alarm clock ticking away by the chest of drawers," ‘Good God,’ he thought", Once I’ve got together the money to pay off the parents’ debt to him—that should take another five or six years—I’ll do it for sure
 Once I’ve got together the money to pay off the parents’ debt to him—that should take another five or six years—I’ll do it for sure, Then I’ll make the big break," In any case, right now I have to get up", My train leaves at five o’clock,’And he looked over at the alarm clock ticking away by the chest of drawers," ‘Good God,’ he thought"," It was half past six, and the hands were going quietly on", Then I’ll make the big break
 Then I’ll make the big break," In any case, right now I have to get up", My train leaves at five o’clock,’And he looked over at the alarm clock ticking away by the chest of drawers," ‘Good God,’ he thought"," It was half past six, and the hands were going quietly on"," It was past the half hour, already nearly quarter to"," In any case, right now I have to get up"
" In any case, right now I have to get up", My train leaves at five o’clock,’And he looked over at the alarm clock ticking away by the chest of drawers," ‘Good God,’ he thought"," It was half past six, and the hands were going quietly on"," It was past the half hour, already nearly quarter to", Could the alarm have failed to ring? One saw from the bed that it was properly set for four o’clock, My train leaves at five o’clock
 My train leaves at five o’clock,’And he looked over at the alarm clock ticking away by the chest of drawers," ‘Good God,’ he thought"," It was half past six, and the hands were going quietly on"," It was past the half hour, already nearly quarter to", Could the alarm have failed to ring? One saw from the bed that it was properly set for four o’clock, Certainly it had rung,’And he looked over at the alarm clock ticking away by the chest of drawers
’And he looked over at the alarm clock ticking away by the chest of drawers," ‘Good God,’ he thought"," It was half past six, and the hands were going quietly on"," It was past the half hour, already nearly quarter to", Could the alarm have failed to ring? One saw from the bed that it was properly set for four o’clock, Certainly it had rung," Yes, but was it possible to sleep through this noise that made the furniture shake? Now, it’s true he’d not slept quietly, but evidently he’d slept all the more deeply"," ‘Good God,’ he thought"
" ‘Good God,’ he thought"," It was half past six, and the hands were going quietly on"," It was past the half hour, already nearly quarter to", Could the alarm have failed to ring? One saw from the bed that it was properly set for four o’clock, Certainly it had rung," Yes, but was it possible to sleep through this noise that made the furniture shake? Now, it’s true he’d not slept quietly, but evidently he’d slept all the more deeply"," Still, what should he do now? The next train left at seven o’clock"," It was half past six, and the hands were going quietly on"
" It was half past six, and the hands were going quietly on"," It was past the half hour, already nearly quarter to", Could the alarm have failed to ring? One saw from the bed that it was properly set for four o’clock, Certainly it had rung," Yes, but was it possible to sleep through this noise that made the furniture shake? Now, it’s true he’d not slept quietly, but evidently he’d slept all the more deeply"," Still, what should he do now? The next train left at seven o’clock"," To catch that one, he would have to go in a mad rush"," It was past the half hour, already nearly quarter to"
" It was past the half hour, already nearly quarter to", Could the alarm have failed to ring? One saw from the bed that it was properly set for four o’clock, Certainly it had rung," Yes, but was it possible to sleep through this noise that made the furniture shake? Now, it’s true he’d not slept quietly, but evidently he’d slept all the more deeply"," Still, what should he do now? The next train left at seven o’clock"," To catch that one, he would have to go in a mad rush"," The sample collection wasn’t packed up yet, and he really didn’t feel particularly fresh and active", Could the alarm have failed to ring? One saw from the bed that it was properly set for four o’clock
 Could the alarm have failed to ring? One saw from the bed that it was properly set for four o’clock, Certainly it had rung," Yes, but was it possible to sleep through this noise that made the furniture shake? Now, it’s true he’d not slept quietly, but evidently he’d slept all the more deeply"," Still, what should he do now? The next train left at seven o’clock"," To catch that one, he would have to go in a mad rush"," The sample collection wasn’t packed up yet, and he really didn’t feel particularly fresh and active"," And even if he caught the train, there was no avoiding a blow up with the boss, because the firm’s errand boy would’ve waited for the five o’clock train and reported the news of his absence long ago", Certainly it had rung
 Certainly it had rung," Yes, but was it possible to sleep through this noise that made the furniture shake? Now, it’s true he’d not slept quietly, but evidently he’d slept all the more deeply"," Still, what should he do now? The next train left at seven o’clock"," To catch that one, he would have to go in a mad rush"," The sample collection wasn’t packed up yet, and he really didn’t feel particularly fresh and active"," And even if he caught the train, there was no avoiding a blow up with the boss, because the firm’s errand boy would’ve waited for the five o’clock train and reported the news of his absence long ago"," He was the boss’s The Metamorphosis minion, without backbone or intelligence"," Yes, but was it possible to sleep through this noise that made the furniture shake? Now, it’s true he’d not slept quietly, but evidently he’d slept all the more deeply"
" Yes, but was it possible to sleep through this noise that made the furniture shake? Now, it’s true he’d not slept quietly, but evidently he’d slept all the more deeply"," Still, what should he do now? The next train left at seven o’clock"," To catch that one, he would have to go in a mad rush"," The sample collection wasn’t packed up yet, and he really didn’t feel particularly fresh and active"," And even if he caught the train, there was no avoiding a blow up with the boss, because the firm’s errand boy would’ve waited for the five o’clock train and reported the news of his absence long ago"," He was the boss’s The Metamorphosis minion, without backbone or intelligence"," Well then, what if he reported in sick? But that would be extremely embarrassing and suspicious, because during his five years’ service Gregor hadn’t been sick even once"," Still, what should he do now? The next train left at seven o’clock"
" Still, what should he do now? The next train left at seven o’clock"," To catch that one, he would have to go in a mad rush"," The sample collection wasn’t packed up yet, and he really didn’t feel particularly fresh and active"," And even if he caught the train, there was no avoiding a blow up with the boss, because the firm’s errand boy would’ve waited for the five o’clock train and reported the news of his absence long ago"," He was the boss’s The Metamorphosis minion, without backbone or intelligence"," Well then, what if he reported in sick? But that would be extremely embarrassing and suspicious, because during his five years’ service Gregor hadn’t been sick even once", The boss would certainly come with the doctor from the health insurance company and would reproach his parents for their lazy son and cut short all objections with the insurance doctor’s comments; for him everyone was completely healthy but really lazy about work," To catch that one, he would have to go in a mad rush"
" To catch that one, he would have to go in a mad rush"," The sample collection wasn’t packed up yet, and he really didn’t feel particularly fresh and active"," And even if he caught the train, there was no avoiding a blow up with the boss, because the firm’s errand boy would’ve waited for the five o’clock train and reported the news of his absence long ago"," He was the boss’s The Metamorphosis minion, without backbone or intelligence"," Well then, what if he reported in sick? But that would be extremely embarrassing and suspicious, because during his five years’ service Gregor hadn’t been sick even once", The boss would certainly come with the doctor from the health insurance company and would reproach his parents for their lazy son and cut short all objections with the insurance doctor’s comments; for him everyone was completely healthy but really lazy about work," And besides, would the doctor in this case be totally wrong? Apart from a really excessive drowsiness after the long sleep, Gregor in fact felt quite well and even had a really strong appetite"," The sample collection wasn’t packed up yet, and he really didn’t feel particularly fresh and active"
" The sample collection wasn’t packed up yet, and he really didn’t feel particularly fresh and active"," And even if he caught the train, there was no avoiding a blow up with the boss, because the firm’s errand boy would’ve waited for the five o’clock train and reported the news of his absence long ago"," He was the boss’s The Metamorphosis minion, without backbone or intelligence"," Well then, what if he reported in sick? But that would be extremely embarrassing and suspicious, because during his five years’ service Gregor hadn’t been sick even once", The boss would certainly come with the doctor from the health insurance company and would reproach his parents for their lazy son and cut short all objections with the insurance doctor’s comments; for him everyone was completely healthy but really lazy about work," And besides, would the doctor in this case be totally wrong? Apart from a really excessive drowsiness after the long sleep, Gregor in fact felt quite well and even had a really strong appetite","As he was thinking all this over in the greatest haste, without being able to make the decision to get out of bed (the alarm clock was indicating exactly quarter to seven) there was a cautious knock on the door by the head of the bed"," And even if he caught the train, there was no avoiding a blow up with the boss, because the firm’s errand boy would’ve waited for the five o’clock train and reported the news of his absence long ago"
" And even if he caught the train, there was no avoiding a blow up with the boss, because the firm’s errand boy would’ve waited for the five o’clock train and reported the news of his absence long ago"," He was the boss’s The Metamorphosis minion, without backbone or intelligence"," Well then, what if he reported in sick? But that would be extremely embarrassing and suspicious, because during his five years’ service Gregor hadn’t been sick even once", The boss would certainly come with the doctor from the health insurance company and would reproach his parents for their lazy son and cut short all objections with the insurance doctor’s comments; for him everyone was completely healthy but really lazy about work," And besides, would the doctor in this case be totally wrong? Apart from a really excessive drowsiness after the long sleep, Gregor in fact felt quite well and even had a really strong appetite","As he was thinking all this over in the greatest haste, without being able to make the decision to get out of bed (the alarm clock was indicating exactly quarter to seven) there was a cautious knock on the door by the head of the bed","‘Gregor,’ a voice called (it was his mother!) ‘it’s quarter to seven"," He was the boss’s The Metamorphosis minion, without backbone or intelligence"
" He was the boss’s The Metamorphosis minion, without backbone or intelligence"," Well then, what if he reported in sick? But that would be extremely embarrassing and suspicious, because during his five years’ service Gregor hadn’t been sick even once", The boss would certainly come with the doctor from the health insurance company and would reproach his parents for their lazy son and cut short all objections with the insurance doctor’s comments; for him everyone was completely healthy but really lazy about work," And besides, would the doctor in this case be totally wrong? Apart from a really excessive drowsiness after the long sleep, Gregor in fact felt quite well and even had a really strong appetite","As he was thinking all this over in the greatest haste, without being able to make the decision to get out of bed (the alarm clock was indicating exactly quarter to seven) there was a cautious knock on the door by the head of the bed","‘Gregor,’ a voice called (it was his mother!) ‘it’s quarter to seven", Don’t you want to be on your way?’ The soft  voice! Gregor was startled when he heard his voice answering," Well then, what if he reported in sick? But that would be extremely embarrassing and suspicious, because during his five years’ service Gregor hadn’t been sick even once"
" Well then, what if he reported in sick? But that would be extremely embarrassing and suspicious, because during his five years’ service Gregor hadn’t been sick even once", The boss would certainly come with the doctor from the health insurance company and would reproach his parents for their lazy son and cut short all objections with the insurance doctor’s comments; for him everyone was completely healthy but really lazy about work," And besides, would the doctor in this case be totally wrong? Apart from a really excessive drowsiness after the long sleep, Gregor in fact felt quite well and even had a really strong appetite","As he was thinking all this over in the greatest haste, without being able to make the decision to get out of bed (the alarm clock was indicating exactly quarter to seven) there was a cautious knock on the door by the head of the bed","‘Gregor,’ a voice called (it was his mother!) ‘it’s quarter to seven", Don’t you want to be on your way?’ The soft  voice! Gregor was startled when he heard his voice answering," It was clearly and unmistakably his earlier voice, but in it was intermingled, as if from below, an irrepressibly painful squeaking which left the words positively distinct only in the first moment and distorted them in the reverberation, so that one didn’t know if one had heard correctly", The boss would certainly come with the doctor from the health insurance company and would reproach his parents for their lazy son and cut short all objections with the insurance doctor’s comments; for him everyone was completely healthy but really lazy about work
 The boss would certainly come with the doctor from the health insurance company and would reproach his parents for their lazy son and cut short all objections with the insurance doctor’s comments; for him everyone was completely healthy but really lazy about work," And besides, would the doctor in this case be totally wrong? Apart from a really excessive drowsiness after the long sleep, Gregor in fact felt quite well and even had a really strong appetite","As he was thinking all this over in the greatest haste, without being able to make the decision to get out of bed (the alarm clock was indicating exactly quarter to seven) there was a cautious knock on the door by the head of the bed","‘Gregor,’ a voice called (it was his mother!) ‘it’s quarter to seven", Don’t you want to be on your way?’ The soft  voice! Gregor was startled when he heard his voice answering," It was clearly and unmistakably his earlier voice, but in it was intermingled, as if from below, an irrepressibly painful squeaking which left the words positively distinct only in the first moment and distorted them in the reverberation, so that one didn’t know if one had heard correctly"," Gregor wanted to answer in detail and explain everything, but in these circumstances he confined himself to saying, ‘Yes, yes, thank you mother"," And besides, would the doctor in this case be totally wrong? Apart from a really excessive drowsiness after the long sleep, Gregor in fact felt quite well and even had a really strong appetite"
" And besides, would the doctor in this case be totally wrong? Apart from a really excessive drowsiness after the long sleep, Gregor in fact felt quite well and even had a really strong appetite","As he was thinking all this over in the greatest haste, without being able to make the decision to get out of bed (the alarm clock was indicating exactly quarter to seven) there was a cautious knock on the door by the head of the bed","‘Gregor,’ a voice called (it was his mother!) ‘it’s quarter to seven", Don’t you want to be on your way?’ The soft  voice! Gregor was startled when he heard his voice answering," It was clearly and unmistakably his earlier voice, but in it was intermingled, as if from below, an irrepressibly painful squeaking which left the words positively distinct only in the first moment and distorted them in the reverberation, so that one didn’t know if one had heard correctly"," Gregor wanted to answer in detail and explain everything, but in these circumstances he confined himself to saying, ‘Yes, yes, thank you mother", I’m getting up right away,"As he was thinking all this over in the greatest haste, without being able to make the decision to get out of bed (the alarm clock was indicating exactly quarter to seven) there was a cautious knock on the door by the head of the bed"
"As he was thinking all this over in the greatest haste, without being able to make the decision to get out of bed (the alarm clock was indicating exactly quarter to seven) there was a cautious knock on the door by the head of the bed","‘Gregor,’ a voice called (it was his mother!) ‘it’s quarter to seven", Don’t you want to be on your way?’ The soft  voice! Gregor was startled when he heard his voice answering," It was clearly and unmistakably his earlier voice, but in it was intermingled, as if from below, an irrepressibly painful squeaking which left the words positively distinct only in the first moment and distorted them in the reverberation, so that one didn’t know if one had heard correctly"," Gregor wanted to answer in detail and explain everything, but in these circumstances he confined himself to saying, ‘Yes, yes, thank you mother", I’m getting up right away,"’ Because of the wooden door the change in Gregor’s voice was  not really noticeable outside, so his mother calmed down with this explanation and shuffled off","‘Gregor,’ a voice called (it was his mother!) ‘it’s quarter to seven"
"‘Gregor,’ a voice called (it was his mother!) ‘it’s quarter to seven", Don’t you want to be on your way?’ The soft  voice! Gregor was startled when he heard his voice answering," It was clearly and unmistakably his earlier voice, but in it was intermingled, as if from below, an irrepressibly painful squeaking which left the words positively distinct only in the first moment and distorted them in the reverberation, so that one didn’t know if one had heard correctly"," Gregor wanted to answer in detail and explain everything, but in these circumstances he confined himself to saying, ‘Yes, yes, thank you mother", I’m getting up right away,"’ Because of the wooden door the change in Gregor’s voice was  not really noticeable outside, so his mother calmed down with this explanation and shuffled off"," However, as a result of the short conversation the other family members became aware of the fact that Gregor was unexpectedly still at home, and already his father was knocking on one side door, weakly but with his fist", Don’t you want to be on your way?’ The soft  voice! Gregor was startled when he heard his voice answering
 Don’t you want to be on your way?’ The soft  voice! Gregor was startled when he heard his voice answering," It was clearly and unmistakably his earlier voice, but in it was intermingled, as if from below, an irrepressibly painful squeaking which left the words positively distinct only in the first moment and distorted them in the reverberation, so that one didn’t know if one had heard correctly"," Gregor wanted to answer in detail and explain everything, but in these circumstances he confined himself to saying, ‘Yes, yes, thank you mother", I’m getting up right away,"’ Because of the wooden door the change in Gregor’s voice was  not really noticeable outside, so his mother calmed down with this explanation and shuffled off"," However, as a result of the short conversation the other family members became aware of the fact that Gregor was unexpectedly still at home, and already his father was knocking on one side door, weakly but with his fist"," ‘Gregor, Gregor,’ he called out, ‘what’s going on?’ And after a short while he urged him on again in a deeper voice"," It was clearly and unmistakably his earlier voice, but in it was intermingled, as if from below, an irrepressibly painful squeaking which left the words positively distinct only in the first moment and distorted them in the reverberation, so that one didn’t know if one had heard correctly"
" It was clearly and unmistakably his earlier voice, but in it was intermingled, as if from below, an irrepressibly painful squeaking which left the words positively distinct only in the first moment and distorted them in the reverberation, so that one didn’t know if one had heard correctly"," Gregor wanted to answer in detail and explain everything, but in these circumstances he confined himself to saying, ‘Yes, yes, thank you mother", I’m getting up right away,"’ Because of the wooden door the change in Gregor’s voice was  not really noticeable outside, so his mother calmed down with this explanation and shuffled off"," However, as a result of the short conversation the other family members became aware of the fact that Gregor was unexpectedly still at home, and already his father was knocking on one side door, weakly but with his fist"," ‘Gregor, Gregor,’ he called out, ‘what’s going on?’ And after a short while he urged him on again in a deeper voice"," ‘Gregor!’ Gregor!’ At the other side door, however, his sister knocked lightly"," Gregor wanted to answer in detail and explain everything, but in these circumstances he confined himself to saying, ‘Yes, yes, thank you mother"
