context1;context2;context3;context4;context5;context6;context7;response
“Let’sCosmos go.”;But we didn’t budge, perhaps because we had already stoodhere too long and the right moment for departure had passed . .;.and;now it was all becoming heavier, more awkward . . .;the twoof us with the hanging sparrow in the bushes . . .;and somethinglike a violation of balance, or tactlessness, an impropriety on ourpart loomed in my mind . . .;I was sleepy.;But we didn’t budge, perhaps because we had already stoodhere too long and the right moment for departure had passed . .
But we didn’t budge, perhaps because we had already stoodhere too long and the right moment for departure had passed . .;.and;now it was all becoming heavier, more awkward . . .;the twoof us with the hanging sparrow in the bushes . . .;and somethinglike a violation of balance, or tactlessness, an impropriety on ourpart loomed in my mind . . .;I was sleepy.;“Well, let’s get going!”;.and
.and;now it was all becoming heavier, more awkward . . .;the twoof us with the hanging sparrow in the bushes . . .;and somethinglike a violation of balance, or tactlessness, an impropriety on ourpart loomed in my mind . . .;I was sleepy.;“Well, let’s get going!”;I said, and we left . . .;now it was all becoming heavier, more awkward . . .
now it was all becoming heavier, more awkward . . .;the twoof us with the hanging sparrow in the bushes . . .;and somethinglike a violation of balance, or tactlessness, an impropriety on ourpart loomed in my mind . . .;I was sleepy.;“Well, let’s get going!”;I said, and we left . . .;leaving the sparrowin the bushes, all alone.;the twoof us with the hanging sparrow in the bushes . . .
the twoof us with the hanging sparrow in the bushes . . .;and somethinglike a violation of balance, or tactlessness, an impropriety on ourpart loomed in my mind . . .;I was sleepy.;“Well, let’s get going!”;I said, and we left . . .;leaving the sparrowin the bushes, all alone.;Further march down the road in the sun scorched and weariedus, so we stopped, disgruntled, and again I asked “is it far?”;and somethinglike a violation of balance, or tactlessness, an impropriety on ourpart loomed in my mind . . .
and somethinglike a violation of balance, or tactlessness, an impropriety on ourpart loomed in my mind . . .;I was sleepy.;“Well, let’s get going!”;I said, and we left . . .;leaving the sparrowin the bushes, all alone.;Further march down the road in the sun scorched and weariedus, so we stopped, disgruntled, and again I asked “is it far?”;Fuksanswered by pointing to a notice posted on a fence: “They’ve gotrooms for rent here too.”;I was sleepy.
I was sleepy.;“Well, let’s get going!”;I said, and we left . . .;leaving the sparrowin the bushes, all alone.;Further march down the road in the sun scorched and weariedus, so we stopped, disgruntled, and again I asked “is it far?”;Fuksanswered by pointing to a notice posted on a fence: “They’ve gotrooms for rent here too.”;I looked.;“Well, let’s get going!”
“Well, let’s get going!”;I said, and we left . . .;leaving the sparrowin the bushes, all alone.;Further march down the road in the sun scorched and weariedus, so we stopped, disgruntled, and again I asked “is it far?”;Fuksanswered by pointing to a notice posted on a fence: “They’ve gotrooms for rent here too.”;I looked.;A little garden.;I said, and we left . . .
I said, and we left . . .;leaving the sparrowin the bushes, all alone.;Further march down the road in the sun scorched and weariedus, so we stopped, disgruntled, and again I asked “is it far?”;Fuksanswered by pointing to a notice posted on a fence: “They’ve gotrooms for rent here too.”;I looked.;A little garden.;In the gardenthere was a house behind a hedge, no ornaments or balconies,boring and shabby, low budget, with a skimpy porch stickingout, wooden, Zakopane-style, with two rows of windows, ﬁve each on the ﬁrst and second ﬂoors, while in the little garden—afew stunted trees, pansies withering in the ﬂower beds, a couple of gravel footpaths.;leaving the sparrowin the bushes, all alone.
leaving the sparrowin the bushes, all alone.;Further march down the road in the sun scorched and weariedus, so we stopped, disgruntled, and again I asked “is it far?”;Fuksanswered by pointing to a notice posted on a fence: “They’ve gotrooms for rent here too.”;I looked.;A little garden.;In the gardenthere was a house behind a hedge, no ornaments or balconies,boring and shabby, low budget, with a skimpy porch stickingout, wooden, Zakopane-style, with two rows of windows, ﬁve each on the ﬁrst and second ﬂoors, while in the little garden—afew stunted trees, pansies withering in the ﬂower beds, a couple of gravel footpaths.;But he thought we should check it out, whynot, sometimes in a dingy place like this the food could be ﬁnger-;Further march down the road in the sun scorched and weariedus, so we stopped, disgruntled, and again I asked “is it far?”
Further march down the road in the sun scorched and weariedus, so we stopped, disgruntled, and again I asked “is it far?”;Fuksanswered by pointing to a notice posted on a fence: “They’ve gotrooms for rent here too.”;I looked.;A little garden.;In the gardenthere was a house behind a hedge, no ornaments or balconies,boring and shabby, low budget, with a skimpy porch stickingout, wooden, Zakopane-style, with two rows of windows, ﬁve each on the ﬁrst and second ﬂoors, while in the little garden—afew stunted trees, pansies withering in the ﬂower beds, a couple of gravel footpaths.;But he thought we should check it out, whynot, sometimes in a dingy place like this the food could be ﬁnger-;licking good, cheap too.;Fuksanswered by pointing to a notice posted on a fence: “They’ve gotrooms for rent here too.”
Fuksanswered by pointing to a notice posted on a fence: “They’ve gotrooms for rent here too.”;I looked.;A little garden.;In the gardenthere was a house behind a hedge, no ornaments or balconies,boring and shabby, low budget, with a skimpy porch stickingout, wooden, Zakopane-style, with two rows of windows, ﬁve each on the ﬁrst and second ﬂoors, while in the little garden—afew stunted trees, pansies withering in the ﬂower beds, a couple of gravel footpaths.;But he thought we should check it out, whynot, sometimes in a dingy place like this the food could be ﬁnger-;licking good, cheap too.;I was ready to walk in and look, thoughwe had passed a few similar notices and hadn’t paid any attention,and besides, I was dripping with sweat.;I looked.
I looked.;A little garden.;In the gardenthere was a house behind a hedge, no ornaments or balconies,boring and shabby, low budget, with a skimpy porch stickingout, wooden, Zakopane-style, with two rows of windows, ﬁve each on the ﬁrst and second ﬂoors, while in the little garden—afew stunted trees, pansies withering in the ﬂower beds, a couple of gravel footpaths.;But he thought we should check it out, whynot, sometimes in a dingy place like this the food could be ﬁnger-;licking good, cheap too.;I was ready to walk in and look, thoughwe had passed a few similar notices and hadn’t paid any attention,and besides, I was dripping with sweat.;He opened the gate, andwe walked along the gravel path toward the glittering window-panes.;A little garden.
A little garden.;In the gardenthere was a house behind a hedge, no ornaments or balconies,boring and shabby, low budget, with a skimpy porch stickingout, wooden, Zakopane-style, with two rows of windows, ﬁve each on the ﬁrst and second ﬂoors, while in the little garden—afew stunted trees, pansies withering in the ﬂower beds, a couple of gravel footpaths.;But he thought we should check it out, whynot, sometimes in a dingy place like this the food could be ﬁnger-;licking good, cheap too.;I was ready to walk in and look, thoughwe had passed a few similar notices and hadn’t paid any attention,and besides, I was dripping with sweat.;He opened the gate, andwe walked along the gravel path toward the glittering window-panes.;He rang the bell, we stood a while on the porch until thedoor opened and a woman, no longer young, about forty, cameout, maybe a housekeeper, bosomy and slightly plump.;In the gardenthere was a house behind a hedge, no ornaments or balconies,boring and shabby, low budget, with a skimpy porch stickingout, wooden, Zakopane-style, with two rows of windows, ﬁve each on the ﬁrst and second ﬂoors, while in the little garden—afew stunted trees, pansies withering in the ﬂower beds, a couple of gravel footpaths.
In the gardenthere was a house behind a hedge, no ornaments or balconies,boring and shabby, low budget, with a skimpy porch stickingout, wooden, Zakopane-style, with two rows of windows, ﬁve each on the ﬁrst and second ﬂoors, while in the little garden—afew stunted trees, pansies withering in the ﬂower beds, a couple of gravel footpaths.;But he thought we should check it out, whynot, sometimes in a dingy place like this the food could be ﬁnger-;licking good, cheap too.;I was ready to walk in and look, thoughwe had passed a few similar notices and hadn’t paid any attention,and besides, I was dripping with sweat.;He opened the gate, andwe walked along the gravel path toward the glittering window-panes.;He rang the bell, we stood a while on the porch until thedoor opened and a woman, no longer young, about forty, cameout, maybe a housekeeper, bosomy and slightly plump.;“We’d like to see the rooms.;But he thought we should check it out, whynot, sometimes in a dingy place like this the food could be ﬁnger-
But he thought we should check it out, whynot, sometimes in a dingy place like this the food could be ﬁnger-;licking good, cheap too.;I was ready to walk in and look, thoughwe had passed a few similar notices and hadn’t paid any attention,and besides, I was dripping with sweat.;He opened the gate, andwe walked along the gravel path toward the glittering window-panes.;He rang the bell, we stood a while on the porch until thedoor opened and a woman, no longer young, about forty, cameout, maybe a housekeeper, bosomy and slightly plump.;“We’d like to see the rooms.;”“One;licking good, cheap too.
licking good, cheap too.;I was ready to walk in and look, thoughwe had passed a few similar notices and hadn’t paid any attention,and besides, I was dripping with sweat.;He opened the gate, andwe walked along the gravel path toward the glittering window-panes.;He rang the bell, we stood a while on the porch until thedoor opened and a woman, no longer young, about forty, cameout, maybe a housekeeper, bosomy and slightly plump.;“We’d like to see the rooms.;”“One;moment please, I’ll get the lady of the house.”We waited on the porch, the din of the train still in my head, thejourney, the previous day’s events, the swarm, the haze, the roar. Witold GombrowiczCascading, overwhelming roar.;I was ready to walk in and look, thoughwe had passed a few similar notices and hadn’t paid any attention,and besides, I was dripping with sweat.
I was ready to walk in and look, thoughwe had passed a few similar notices and hadn’t paid any attention,and besides, I was dripping with sweat.;He opened the gate, andwe walked along the gravel path toward the glittering window-panes.;He rang the bell, we stood a while on the porch until thedoor opened and a woman, no longer young, about forty, cameout, maybe a housekeeper, bosomy and slightly plump.;“We’d like to see the rooms.;”“One;moment please, I’ll get the lady of the house.”We waited on the porch, the din of the train still in my head, thejourney, the previous day’s events, the swarm, the haze, the roar. Witold GombrowiczCascading, overwhelming roar.;What intrigued me in this womanwas a strange deformity of the mouth in the face of a bright-eyed,decent little housekeeper—her mouth was as if incised on oneside, and its lengthening, just by a bit, by a fraction of an inch,made her upper lip curl upward, leap aside, or slither away, almostlike a reptile, and that sideways slipperiness slipping away repelledme by its reptilian, frog-like coldness, and, like a dark passage, itinstantly warmed and aroused me, leading me to a sin with her,sexual, slippery, and lubricious.;He opened the gate, andwe walked along the gravel path toward the glittering window-panes.
He opened the gate, andwe walked along the gravel path toward the glittering window-panes.;He rang the bell, we stood a while on the porch until thedoor opened and a woman, no longer young, about forty, cameout, maybe a housekeeper, bosomy and slightly plump.;“We’d like to see the rooms.;”“One;moment please, I’ll get the lady of the house.”We waited on the porch, the din of the train still in my head, thejourney, the previous day’s events, the swarm, the haze, the roar. Witold GombrowiczCascading, overwhelming roar.;What intrigued me in this womanwas a strange deformity of the mouth in the face of a bright-eyed,decent little housekeeper—her mouth was as if incised on oneside, and its lengthening, just by a bit, by a fraction of an inch,made her upper lip curl upward, leap aside, or slither away, almostlike a reptile, and that sideways slipperiness slipping away repelledme by its reptilian, frog-like coldness, and, like a dark passage, itinstantly warmed and aroused me, leading me to a sin with her,sexual, slippery, and lubricious.;And her voice came as a surprise—I don’t know what kind of voice I had expected from such amouth—but she sounded like an ordinary housekeeper, middle-aged and corpulent.;He rang the bell, we stood a while on the porch until thedoor opened and a woman, no longer young, about forty, cameout, maybe a housekeeper, bosomy and slightly plump.
He rang the bell, we stood a while on the porch until thedoor opened and a woman, no longer young, about forty, cameout, maybe a housekeeper, bosomy and slightly plump.;“We’d like to see the rooms.;”“One;moment please, I’ll get the lady of the house.”We waited on the porch, the din of the train still in my head, thejourney, the previous day’s events, the swarm, the haze, the roar. Witold GombrowiczCascading, overwhelming roar.;What intrigued me in this womanwas a strange deformity of the mouth in the face of a bright-eyed,decent little housekeeper—her mouth was as if incised on oneside, and its lengthening, just by a bit, by a fraction of an inch,made her upper lip curl upward, leap aside, or slither away, almostlike a reptile, and that sideways slipperiness slipping away repelledme by its reptilian, frog-like coldness, and, like a dark passage, itinstantly warmed and aroused me, leading me to a sin with her,sexual, slippery, and lubricious.;And her voice came as a surprise—I don’t know what kind of voice I had expected from such amouth—but she sounded like an ordinary housekeeper, middle-aged and corpulent.;I now heard her call from inside the house:“Auntie!;“We’d like to see the rooms.
“We’d like to see the rooms.;”“One;moment please, I’ll get the lady of the house.”We waited on the porch, the din of the train still in my head, thejourney, the previous day’s events, the swarm, the haze, the roar. Witold GombrowiczCascading, overwhelming roar.;What intrigued me in this womanwas a strange deformity of the mouth in the face of a bright-eyed,decent little housekeeper—her mouth was as if incised on oneside, and its lengthening, just by a bit, by a fraction of an inch,made her upper lip curl upward, leap aside, or slither away, almostlike a reptile, and that sideways slipperiness slipping away repelledme by its reptilian, frog-like coldness, and, like a dark passage, itinstantly warmed and aroused me, leading me to a sin with her,sexual, slippery, and lubricious.;And her voice came as a surprise—I don’t know what kind of voice I had expected from such amouth—but she sounded like an ordinary housekeeper, middle-aged and corpulent.;I now heard her call from inside the house:“Auntie!;A couple of gentlemen are here about the room!”After a few moments the aunt trundled out on her short littlelegs as if on a rolling pin, she was rotund—we exchanged a few re-marks, yes indeed, there is a room for two, with board, pleasecome this way!;”“One
”“One;moment please, I’ll get the lady of the house.”We waited on the porch, the din of the train still in my head, thejourney, the previous day’s events, the swarm, the haze, the roar. Witold GombrowiczCascading, overwhelming roar.;What intrigued me in this womanwas a strange deformity of the mouth in the face of a bright-eyed,decent little housekeeper—her mouth was as if incised on oneside, and its lengthening, just by a bit, by a fraction of an inch,made her upper lip curl upward, leap aside, or slither away, almostlike a reptile, and that sideways slipperiness slipping away repelledme by its reptilian, frog-like coldness, and, like a dark passage, itinstantly warmed and aroused me, leading me to a sin with her,sexual, slippery, and lubricious.;And her voice came as a surprise—I don’t know what kind of voice I had expected from such amouth—but she sounded like an ordinary housekeeper, middle-aged and corpulent.;I now heard her call from inside the house:“Auntie!;A couple of gentlemen are here about the room!”After a few moments the aunt trundled out on her short littlelegs as if on a rolling pin, she was rotund—we exchanged a few re-marks, yes indeed, there is a room for two, with board, pleasecome this way!;A whiﬀof ground coﬀee, a narrow hallway, a smallalcove, wooden stairs, you’re here for a while, ah, yes, studying, it’speaceful here, quiet . . .;moment please, I’ll get the lady of the house.”We waited on the porch, the din of the train still in my head, thejourney, the previous day’s events, the swarm, the haze, the roar. Witold GombrowiczCascading, overwhelming roar.
